fileoff,w,h,dsc_off,data_size,palette_opaque_count,period16?,notes
0x3871c0,399,145,0x3af594,29064,5,N,ok;coh=0.623;score=0.187;opaque_ge2;strips=4
0x394940,36,36,0x3bccf0,712,6,N,ok;coh=0.490;score=0.152;opaque_ge2;strips=1;rowmajor
0x394c40,280,280,0x3bcffc,39264,6,N,ok;coh=0.856;score=1.101;opaque_ge2;strips=3
0x39ee40,64,64,0x3c71f4,2112,4,N,ok;coh=0.896;score=0.000;opaque_ge2;strips=1;rowmajor
0x3a74c0,120,120,0x3cf890,7264,0,N,ok;coh=0.929;score=0.000;a0_allzero;strips=2
0x3acd80,120,120,0x3d5134,7264,0,N,ok;coh=0.947;score=0.000;a0_allzero;strips=2
0x3b3f00,80,80,0x3dc2e8,3264,0,N,ok;coh=0.940;score=0.000;a0_allzero;strips=1;rowmajor
0x3b4f40,120,120,0x3dd2fc,7264,0,N,ok;coh=0.872;score=0.626;a0_allzero;strips=2
0x3b6e40,64,64,0x3df1f4,2112,2,N,ok;coh=0.069;score=0.002;opaque_ge2;strips=1;rowmajor
0x3b76c0,32,32,0x3dfa74,576,5,N,ok;coh=0.079;score=0.003;opaque_ge2;strips=1;rowmajor
0x3b7940,24,24,0x3dfcf4,352,2,N,ok;coh=0.083;score=0.003;opaque_ge2;strips=1;rowmajor
0x3b7ac0,20,20,0x3dfe94,264,3,N,ok;coh=0.067;score=0.002;opaque_ge2;strips=1;rowmajor
0x3b7c80,36,36,0x3e0040,712,2,N,ok;coh=0.079;score=0.003;opaque_ge2;strips=1;rowmajor
0x3bb780,36,36,0x3e3b44,712,6,N,ok;coh=0.085;score=0.003;opaque_ge2;strips=1;rowmajor
0x3c3a00,48,48,0x3ebdb0,1216,1,N,ok;coh=0.893;score=0.000;a0_transp;strips=1;rowmajor
0x3c3f00,48,48,0x3ec2b4,1216,2,N,ok;coh=0.894;score=0.000;opaque_ge2;strips=1;rowmajor
0x3c6200,48,48,0x3ee5b4,1216,1,N,ok;coh=0.882;score=0.000;a0_transp;strips=1;rowmajor
0x3c8740,48,48,0x3f0b28,1216,3,N,ok;coh=0.070;score=0.002;opaque_ge2;strips=1;rowmajor
0x3c8c40,44,36,0x3f0ff4,856,4,N,ok;coh=0.067;score=0.002;opaque_ge2;strips=1;rowmajor
0x3c94c0,48,48,0x3f1874,1216,3,N,ok;coh=0.068;score=0.002;opaque_ge2;strips=1;rowmajor
0x3ca8c0,48,48,0x3f2c74,1216,2,N,ok;coh=0.066;score=0.002;opaque_ge2;strips=1;rowmajor
0x3cadc0,48,48,0x3f3174,1216,3,N,ok;coh=0.063;score=0.002;opaque_ge2;strips=1;rowmajor
0x3cb7c0,40,40,0x3f3b74,864,3,N,ok;coh=0.077;score=0.003;opaque_ge2;strips=1;rowmajor
0x3cbb40,48,48,0x3f3f14,1216,3,N,ok;coh=0.074;score=0.003;opaque_ge2;strips=1;rowmajor
0x3cc040,48,48,0x3f43f4,1216,2,N,ok;coh=0.075;score=0.003;opaque_ge2;strips=1;rowmajor
0x3cc540,48,48,0x3f48f4,1216,3,N,ok;coh=0.074;score=0.003;opaque_ge2;strips=1;rowmajor
0x3cca40,48,48,0x3f4df4,1216,2,N,ok;coh=0.066;score=0.002;opaque_ge2;strips=1;rowmajor
0x3ccf40,48,48,0x3f52f4,1216,2,N,ok;coh=0.672;score=0.000;opaque_ge2;strips=1;rowmajor
0x3cd440,48,48,0x3f57f4,1216,3,N,ok;coh=0.672;score=0.000;opaque_ge2;strips=1;rowmajor
0x3cf980,40,40,0x3f7d34,864,0,N,ok;coh=0.833;score=0.000;a0_allzero;strips=1;rowmajor
0x3d1680,32,32,0x3f9a54,576,4,N,ok;coh=0.575;score=0.081;opaque_ge2;strips=1;rowmajor
0x3d1900,25,24,0x3f9cb4,376,0,N,ok;coh=0.852;score=0.000;a0_allzero;strips=1;rowmajor
0x3d1d00,32,32,0x3fa0ac,576,0,N,ok;coh=0.864;score=0.000;a0_allzero;strips=1;rowmajor
0x3d1f80,62,45,0x3fa334,1459,2,N,ok;coh=0.727;score=0.198;opaque_ge2;strips=1;rowmajor
0x3d2c80,32,32,0x3fb034,576,0,N,ok;coh=0.897;score=0.000;a0_allzero;strips=1;rowmajor
0x3d2f00,40,22,0x3fb2b4,504,4,N,ok;coh=0.477;score=0.163;opaque_ge2;strips=1;rowmajor
0x3d3400,32,32,0x3fb7ac,576,2,N,ok;coh=0.504;score=0.249;opaque_ge2;strips=1;rowmajor
0x3d5380,32,32,0x3fd734,576,0,N,ok;coh=0.804;score=0.000;a0_allzero;strips=1;rowmajor
0x3d63c0,32,32,0x3fe774,576,1,N,ok;coh=0.540;score=0.000;a0_transp;strips=1;rowmajor
0x3d7540,32,32,0x3ff8f4,576,1,N,ok;coh=0.675;score=0.000;a0_transp;strips=1;rowmajor
0x3dec80,48,48,0x407064,1216,1,N,ok;coh=0.826;score=0.000;a0_transp;strips=1;rowmajor
0x3df940,32,32,0x407cfc,576,1,N,ok;coh=0.681;score=0.000;a0_transp;strips=1;rowmajor
0x3f8300,84,84,0x4206ac,3592,9,N,ok;coh=0.680;score=0.412;opaque_ge2;strips=1;rowmajor
0x3f9140,84,84,0x4214fc,3592,4,N,ok;coh=0.635;score=0.143;opaque_ge2;strips=1;rowmajor
0x3fa380,32,32,0x422740,576,10,N,ok;coh=0.298;score=0.063;opaque_ge2;strips=1;rowmajor
0x3fa600,32,32,0x4229b4,576,10,N,ok;coh=0.285;score=0.054;opaque_ge2;strips=1;rowmajor
0x3fa880,32,32,0x422c34,576,8,N,ok;coh=0.655;score=0.372;opaque_ge2;strips=1;rowmajor
0x3fb980,32,32,0x423d34,576,5,N,ok;coh=0.791;score=0.526;opaque_ge2;strips=1;rowmajor
0x315480,44,44,0x33d82c,1032,1,N,REJECT: pal_fail
0x316080,26,24,0x33e42c,376,1,N,REJECT: pal_fail
0x319cc0,26,24,0x34206c,376,0,N,REJECT: pal_fail
0x319e80,10,86,0x34222c,494,1,N,REJECT: pal_fail
0x31a440,26,24,0x3427ec,376,0,N,REJECT: pal_fail
0x31a600,26,24,0x3429ac,376,0,N,REJECT: pal_fail
0x31a7c0,48,48,0x342b6c,1216,0,N,REJECT: pal_fail
0x31acc0,26,24,0x343074,376,1,N,REJECT: pal_fail
0x31ae80,26,24,0x34322c,376,1,N,REJECT: pal_fail
0x31bdc0,48,48,0x344174,1216,0,N,REJECT: pal_fail
0x31cd00,44,44,0x3450b4,1032,0,N,REJECT: pal_fail
0x31d140,64,64,0x3454fc,2112,0,N,REJECT: pal_fail
0x31db80,14,8,0x345f2c,120,1,N,REJECT: pal_fail
0x31dc40,64,64,0x345fec,2112,2,N,REJECT: pal_records;inc_table
0x31e4c0,44,44,0x346874,1032,0,N,REJECT: inc_table;pal_fail
0x31e900,26,24,0x346cbc,376,0,N,REJECT: pal_records;inc_table;pal_fail
0x31eac0,26,24,0x346e6c,376,1,N,REJECT: pal_records;inc_table;pal_fail
0x31ec80,48,48,0x34702c,1216,0,N,REJECT: pal_records;inc_table;pal_fail
0x31f180,44,44,0x347534,1032,2,N,REJECT: pal_records;inc_table
0x31f5c0,48,48,0x34797c,1216,0,N,REJECT: pal_records;inc_table;pal_fail
0x31fac0,26,24,0x347e74,376,2,N,REJECT: pal_records;inc_table
0x31fc80,44,44,0x34802c,1032,0,N,REJECT: inc_table;pal_fail
0x3200c0,64,64,0x34847c,2112,2,N,REJECT: pal_records;inc_table
0x320940,64,64,0x348cf4,2112,3,N,REJECT: pal_records;inc_table
0x3211c0,44,44,0x349574,1032,0,N,REJECT: inc_table;pal_fail
0x321600,48,48,0x3499bc,1216,3,N,REJECT: pal_records;inc_table;pal_fail
0x321b00,26,24,0x349eb4,376,0,N,REJECT: pal_records;inc_table;pal_fail
0x321cc0,24,24,0x34a06c,352,0,N,REJECT: inc_table;pal_fail
0x321e40,24,24,0x34a214,352,1,N,REJECT: pal_records;inc_table
0x321fc0,24,24,0x34a394,352,3,N,REJECT: pal_records;inc_table;pal_fail
0x322140,24,24,0x34a514,352,4,N,REJECT: pal_records;inc_table;pal_fail
0x3222c0,24,24,0x34a694,352,4,N,REJECT: inc_table
0x322440,24,24,0x34a814,352,0,N,REJECT: pal_records;inc_table;pal_fail
0x3225c0,24,24,0x34a994,352,0,N,REJECT: pal_records;inc_table;pal_fail
0x322740,24,24,0x34ab14,352,1,N,REJECT: inc_table;pal_fail
0x3228c0,24,24,0x34ac94,352,1,N,REJECT: pal_records;inc_table
0x322a40,24,24,0x34ae14,352,2,Y,"REJECT: inc_table;period16(c=0.93,peak=16)"
0x322bc0,24,24,0x34af94,352,3,N,REJECT: pal_records;inc_table
0x322d40,24,24,0x34b114,352,3,Y,"REJECT: inc_table;period16(c=0.88,peak=16)"
0x322ec0,24,24,0x34b294,352,4,Y,"REJECT: pal_records;inc_table;period16(c=0.91,peak=16)"
0x323040,24,24,0x34b414,352,3,N,REJECT: pal_records;inc_table
0x3231c0,24,24,0x34b594,352,3,Y,"REJECT: inc_table;period16(c=0.92,peak=16)"
0x323340,24,24,0x34b714,352,4,Y,"REJECT: pal_records;inc_table;period16(c=0.97,peak=16)"
0x3234c0,24,24,0x34b894,352,4,N,REJECT: inc_table
0x323640,24,24,0x34ba14,352,3,N,REJECT: inc_table
0x3237c0,24,24,0x34bb94,352,0,N,REJECT: inc_table;pal_fail
0x323940,24,24,0x34bd14,352,1,N,REJECT: inc_table;pal_fail
0x323ac0,24,24,0x34be94,352,3,N,REJECT: inc_table
0x323c40,24,24,0x34c014,352,2,N,REJECT: inc_table
0x323dc0,24,24,0x34c194,352,3,N,REJECT: inc_table
0x323f40,80,80,0x34c314,3264,3,Y,"REJECT: skip_known_table;pal_records;inc_table;period16(c=0.94,peak=16);pal_fail"
0x324c40,80,80,0x34cff4,3264,4,Y,"REJECT: inc_table;period16(c=0.96,peak=16)"
0x325940,80,80,0x34dcf4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.96,peak=16);pal_fail"
0x326640,80,80,0x34e9f4,3264,3,Y,"REJECT: inc_table;period16(c=0.96,peak=16)"
0x327340,80,80,0x34f6f4,3264,4,Y,"REJECT: inc_table;period16(c=0.97,peak=16)"
0x328040,80,80,0x3503f4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.98,peak=16);pal_fail"
0x328d40,80,80,0x3510f4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.98,peak=16);pal_fail"
0x329a40,80,80,0x351df4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.98,peak=16)"
0x32a740,80,80,0x352af4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.97,peak=16);pal_fail"
0x32b440,80,80,0x3537f4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.97,peak=16)"
0x32c140,80,80,0x3544f4,3264,4,Y,"REJECT: inc_table;period16(c=0.96,peak=16)"
0x32ce40,80,80,0x3551f4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.95,peak=16);pal_fail"
0x32db40,80,80,0x355ef4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.97,peak=16);pal_fail"
0x32e840,80,80,0x356bf4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.97,peak=16);pal_fail"
0x32f540,80,80,0x3578f4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.98,peak=16)"
0x330240,80,80,0x3585f4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.98,peak=16);pal_fail"
0x330f40,80,80,0x3592f4,3264,4,Y,"REJECT: inc_table;period16(c=0.97,peak=16)"
0x331c40,80,80,0x359ff4,3264,4,Y,"REJECT: pal_records;inc_table;period16(c=0.88,peak=16);pal_fail"
0x332940,80,80,0x35acf4,3264,2,Y,"REJECT: inc_table;period16(c=0.89,peak=16)"
0x333640,32,44,0x35b9f4,768,3,N,REJECT: pal_records;inc_table
0x333980,32,44,0x35bd34,768,2,N,REJECT: inc_table
0x333cc0,32,44,0x35c074,768,3,Y,"REJECT: inc_table;period16(c=0.95,peak=16)"
0x334000,32,44,0x35c3b4,768,4,N,REJECT: pal_records;inc_table
0x334340,32,44,0x35c6f4,768,3,N,REJECT: inc_table
0x334680,32,44,0x35ca34,768,4,N,REJECT: inc_table
0x3349c0,32,44,0x35cd74,768,3,N,REJECT: inc_table
0x334d00,32,44,0x35d0b4,768,1,N,REJECT: pal_records;inc_table
0x335040,32,44,0x35d3f4,768,0,N,REJECT: inc_table;pal_fail
0x335380,32,44,0x35d734,768,1,N,REJECT: pal_fail
0x3356c0,32,44,0x35da74,768,0,N,REJECT: pal_fail
0x335a00,32,44,0x35ddb4,768,0,N,REJECT: pal_fail
0x335d40,32,44,0x35e0f4,768,0,N,REJECT: inc_table;pal_fail
0x336080,32,44,0x35e434,768,0,N,REJECT: pal_fail
0x3363c0,32,44,0x35e774,768,9,N,REJECT: inc_table
0x336700,32,44,0x35eab4,768,0,N,REJECT: inc_table;pal_fail
0x336a40,32,44,0x35edf4,768,0,N,REJECT: inc_table;pal_fail
0x336d80,32,44,0x35f134,768,0,N,REJECT: inc_table;pal_fail
0x3370c0,32,44,0x35f474,768,0,N,REJECT: inc_table;pal_fail
0x337400,32,44,0x35f7b4,768,0,N,REJECT: inc_table;pal_fail
0x337740,32,44,0x35faf4,768,0,N,REJECT: inc_table;pal_fail
0x337a80,32,44,0x35fe34,768,0,N,REJECT: inc_table;pal_fail
0x337dc0,32,44,0x360174,768,0,N,REJECT: inc_table;pal_fail
0x338100,32,44,0x3604b4,768,0,N,REJECT: pal_fail
0x338440,32,44,0x3607f4,768,0,N,REJECT: pal_fail;flat_nibble(0.993)
0x338780,32,44,0x360b34,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x338ac0,32,44,0x360e74,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
0x338e00,32,44,0x3611b4,768,0,N,REJECT: pal_fail;flat_nibble(1.000)
