fileoff,w,h,dsc_off,data_size,palette_opaque_count,period16?,notes
0x3acb00,32,32,0x3d4edc,576,0,N,REJECT: flat_nibble(0.975)
0x3aea00,128,128,0x3d6dd4,8256,0,N,REJECT: pal_fail
0x3b4c00,24,24,0x3dcfb4,352,0,N,REJECT: flat_nibble(0.972)
0x3b4e00,20,20,0x3dd1c4,264,0,N,REJECT: pal_fail
0x3b6bc0,32,32,0x3def94,576,0,N,REJECT: pal_fail
0x3b7f80,32,32,0x3e033c,576,1,N,REJECT: pal_fail
0x3be900,100,100,0x3e6cbc,5064,0,N,REJECT: pal_fail
0x3bfd00,36,36,0x3e80bc,712,0,N,REJECT: pal_fail
0x3c0000,48,48,0x3e83bc,1216,0,N,REJECT: pal_fail
0x3c0500,48,48,0x3e88b4,1216,0,N,REJECT: pal_fail
0x3c0a00,48,48,0x3e8db4,1216,0,N,REJECT: pal_fail
0x3c0f00,48,48,0x3e92b4,1216,0,N,REJECT: pal_fail
0x3c1400,48,48,0x3e97b4,1216,0,N,REJECT: pal_fail
0x3c1900,48,48,0x3e9cb4,1216,0,N,REJECT: pal_fail;flat_nibble(0.975)
0x3c1e00,48,48,0x3ea1b4,1216,0,N,REJECT: pal_fail;flat_nibble(0.972)
0x3c2300,48,48,0x3ea6b4,1216,0,N,REJECT: pal_fail
0x3c2800,56,56,0x3eabb4,1632,0,N,REJECT: pal_fail
0x3c2e80,48,48,0x3eb254,1216,0,N,REJECT: pal_fail
0x3c4400,48,48,0x3ec7b4,1216,0,N,REJECT: flat_nibble(0.971)
0x3c4900,48,48,0x3eccb4,1216,0,N,REJECT: pal_fail;flat_nibble(0.970)
0x3c4e00,48,48,0x3ed1b4,1216,0,N,REJECT: pal_fail
0x3c5300,48,48,0x3ed6b4,1216,0,N,REJECT: pal_fail
0x3c5800,48,48,0x3edbb4,1216,0,N,REJECT: pal_fail
0x3c5d00,48,48,0x3ee0b4,1216,0,N,REJECT: pal_fail
0x3c8fc0,48,48,0x3f138c,1216,1,N,REJECT: pal_fail
0x3c99c0,24,24,0x3f1d74,352,1,N,REJECT: pal_fail
0x3c9b40,48,48,0x3f1f14,1216,0,N,REJECT: pal_fail
0x3ca040,40,40,0x3f23f4,864,1,N,REJECT: pal_fail
0x3ca3c0,48,48,0x3f2794,1216,1,N,REJECT: pal_fail
0x3cb2c0,48,48,0x3f3674,1216,1,N,REJECT: pal_fail
0x3cd940,48,48,0x3f5cf4,1216,4,N,REJECT: pal_fail
0x3cef80,24,24,0x3f7340,352,0,N,REJECT: pal_fail
0x3cf100,40,40,0x3f74d4,864,0,N,REJECT: pal_fail
0x3cf480,48,48,0x3f7854,1216,0,N,REJECT: pal_fail
0x3cfd00,48,48,0x3f80d4,1216,0,N,REJECT: pal_fail
0x3d0200,48,48,0x3f85b4,1216,0,N,REJECT: pal_fail
0x3d0700,48,48,0x3f8ab4,1216,0,N,REJECT: pal_fail
0x3d0c00,144,36,0x3f8fb4,2656,0,N,REJECT: pal_fail
0x3d1ac0,40,22,0x3f9e6c,504,0,N,REJECT: pal_fail
0x3d2540,44,44,0x3fa928,1032,0,N,REJECT: flat_nibble(1.000)
0x3d2a00,32,32,0x3fadc8,576,0,N,REJECT: flat_nibble(1.000)
0x3d3140,28,28,0x3fb4ec,456,1,N,REJECT: pal_fail
0x3d3340,8,14,0x3fb6fc,120,0,N,REJECT: pal_fail
0x3d3800,100,100,0x3fbbc8,5064,1,N,REJECT: pal_fail
0x3d4c00,32,32,0x3fcfbc,576,0,N,REJECT: pal_fail
0x3d4e80,32,32,0x3fd234,576,0,N,REJECT: pal_fail
0x3d5100,32,32,0x3fd4b4,576,0,N,REJECT: pal_fail
0x3d5600,20,20,0x3fd9b4,264,0,N,REJECT: pal_fail
0x3d5740,48,48,0x3fdafc,1216,0,N,REJECT: pal_fail
0x3d5c40,48,48,0x3fdff4,1216,0,N,REJECT: pal_fail
0x3d6140,32,32,0x3fe4f4,576,0,N,REJECT: pal_fail
0x3d6640,32,32,0x3fe9f4,576,0,N,REJECT: pal_fail
0x3d68c0,32,32,0x3fec74,576,1,N,REJECT: pal_fail
0x3d6b40,32,32,0x3feef4,576,0,N,REJECT: flat_nibble(1.000)
0x3d6dc0,32,32,0x3ff174,576,0,N,REJECT: pal_fail
0x3d7040,32,32,0x3ff3f4,576,0,N,REJECT: flat_nibble(1.000)
0x3d72c0,32,32,0x3ff674,576,0,N,REJECT: pal_fail
0x3d77c0,32,32,0x3ffb74,576,1,N,REJECT: pal_fail
0x3de440,290,14,0x4067f0,2094,0,N,REJECT: pal_fail
0x3df500,44,44,0x4078dc,1032,0,N,REJECT: pal_fail
0x3fb700,32,32,0x423ac0,576,0,N,REJECT: pal_fail
0x3fbc00,32,32,0x423fb4,576,8,N,REJECT: flat_nibble(1.000)
0x3fbe80,32,32,0x424234,576,0,N,REJECT: flat_nibble(1.000)
0x3fc880,80,80,0x424c44,3264,0,N,REJECT: pal_fail
