tw,th,tile_order,intra,hi,pal,pad64,full,name,icon0_80x80_table_score,icon0_80x80_table_neigh,icon0_80x80_table_run,icon0_80x80_table_sobel,icon0_80x80_table_ac16,icon0_80x80_table_n_large,icon0_80x80_table_pepper,icon0_80x80_table_bbox,real80a_score,real80a_neigh,real80a_run,real80a_sobel,real80a_ac16,real80a_n_large,real80a_pepper,real80a_bbox,real80b_score,real80b_neigh,real80b_run,real80b_sobel,real80b_ac16,real80b_n_large,real80b_pepper,real80b_bbox,boot_399x145_score,boot_399x145_neigh,boot_399x145_run,boot_399x145_sobel,boot_399x145_ac16,boot_399x145_n_large,boot_399x145_pepper,boot_399x145_bbox,wx24_score,wx24_neigh,wx24_run,wx24_sobel,wx24_ac16,wx24_n_large,wx24_pepper,wx24_bbox,combined
16,1,row,row,True,32,True,True,tw16_th1_trow_irow_hi_pal32_pad64_full,10.718114139657128,0.9477056962025316,9.288824383164005,1.25390625,0.9595703125,5,0.0,0.19921875,6.027860692132178,0.9867088607594936,47.05882352941177,0.15953125,0.976953125,0,0.014492753623188406,0.17,11.539675738758557,0.9403481012658228,19.21921921921922,1.07359375,0.92421875,4,0.005509641873278237,0.2125,10.76114846393855,0.9401313292328031,22.14121699196326,0.9303430991271282,0.9262807238678311,5,0.0,0.13793103448275862,8.945657206119163,0.8496376811594203,7.2,3.267361111111111,0.75,1,0.0,0.7916666666666666,9.547918862997644
16,1,row,col,True,32,True,True,tw16_th1_trow_icol_hi_pal32_pad64_full,10.718114139657128,0.9477056962025316,9.288824383164005,1.25390625,0.9595703125,5,0.0,0.19921875,6.027860692132178,0.9867088607594936,47.05882352941177,0.15953125,0.976953125,0,0.014492753623188406,0.17,11.539675738758557,0.9403481012658228,19.21921921921922,1.07359375,0.92421875,4,0.005509641873278237,0.2125,10.76114846393855,0.9401313292328031,22.14121699196326,0.9303430991271282,0.9262807238678311,5,0.0,0.13793103448275862,8.945657206119163,0.8496376811594203,7.2,3.267361111111111,0.75,1,0.0,0.7916666666666666,9.547918862997644
16,1,row,morton,True,32,True,True,tw16_th1_trow_imorton_hi_pal32_pad64_full,10.718114139657128,0.9477056962025316,9.288824383164005,1.25390625,0.9595703125,5,0.0,0.19921875,6.027860692132178,0.9867088607594936,47.05882352941177,0.15953125,0.976953125,0,0.014492753623188406,0.17,11.539675738758557,0.9403481012658228,19.21921921921922,1.07359375,0.92421875,4,0.005509641873278237,0.2125,10.76114846393855,0.9401313292328031,22.14121699196326,0.9303430991271282,0.9262807238678311,5,0.0,0.13793103448275862,8.945657206119163,0.8496376811594203,7.2,3.267361111111111,0.75,1,0.0,0.7916666666666666,9.547918862997644
16,1,row,bup,True,32,True,True,tw16_th1_trow_ibup_hi_pal32_pad64_full,10.718114139657128,0.9477056962025316,9.288824383164005,1.25390625,0.9595703125,5,0.0,0.19921875,6.027860692132178,0.9867088607594936,47.05882352941177,0.15953125,0.976953125,0,0.014492753623188406,0.17,11.539675738758557,0.9403481012658228,19.21921921921922,1.07359375,0.92421875,4,0.005509641873278237,0.2125,10.76114846393855,0.9401313292328031,22.14121699196326,0.9303430991271282,0.9262807238678311,5,0.0,0.13793103448275862,8.945657206119163,0.8496376811594203,7.2,3.267361111111111,0.75,1,0.0,0.7916666666666666,9.547918862997644
16,1,row,row,True,32,True,False,tw16_th1_trow_irow_hi_pal32_pad64,10.718114139657128,0.9477056962025316,9.288824383164005,1.25390625,0.9595703125,5,0.0,0.19921875,6.027860692132178,0.9867088607594936,47.05882352941177,0.15953125,0.976953125,0,0.014492753623188406,0.17,11.539675738758557,0.9403481012658228,19.21921921921922,1.07359375,0.92421875,4,0.005509641873278237,0.2125,10.696204452895042,0.9386220679710018,21.619955156950674,0.9317777201624752,0.9247501575582966,3,0.0029208709506107276,0.13793103448275862,8.945657206119163,0.8496376811594203,7.2,3.267361111111111,0.75,1,0.0,0.7916666666666666,9.528435659684591
16,1,row,col,True,32,True,False,tw16_th1_trow_icol_hi_pal32_pad64,10.718114139657128,0.9477056962025316,9.288824383164005,1.25390625,0.9595703125,5,0.0,0.19921875,6.027860692132178,0.9867088607594936,47.05882352941177,0.15953125,0.976953125,0,0.014492753623188406,0.17,11.539675738758557,0.9403481012658228,19.21921921921922,1.07359375,0.92421875,4,0.005509641873278237,0.2125,10.696204452895042,0.9386220679710018,21.619955156950674,0.9317777201624752,0.9247501575582966,3,0.0029208709506107276,0.13793103448275862,8.945657206119163,0.8496376811594203,7.2,3.267361111111111,0.75,1,0.0,0.7916666666666666,9.528435659684591
16,1,row,morton,True,32,True,False,tw16_th1_trow_imorton_hi_pal32_pad64,10.718114139657128,0.9477056962025316,9.288824383164005,1.25390625,0.9595703125,5,0.0,0.19921875,6.027860692132178,0.9867088607594936,47.05882352941177,0.15953125,0.976953125,0,0.014492753623188406,0.17,11.539675738758557,0.9403481012658228,19.21921921921922,1.07359375,0.92421875,4,0.005509641873278237,0.2125,10.696204452895042,0.9386220679710018,21.619955156950674,0.9317777201624752,0.9247501575582966,3,0.0029208709506107276,0.13793103448275862,8.945657206119163,0.8496376811594203,7.2,3.267361111111111,0.75,1,0.0,0.7916666666666666,9.528435659684591
16,1,row,bup,True,32,True,False,tw16_th1_trow_ibup_hi_pal32_pad64,10.718114139657128,0.9477056962025316,9.288824383164005,1.25390625,0.9595703125,5,0.0,0.19921875,6.027860692132178,0.9867088607594936,47.05882352941177,0.15953125,0.976953125,0,0.014492753623188406,0.17,11.539675738758557,0.9403481012658228,19.21921921921922,1.07359375,0.92421875,4,0.005509641873278237,0.2125,10.696204452895042,0.9386220679710018,21.619955156950674,0.9317777201624752,0.9247501575582966,3,0.0029208709506107276,0.13793103448275862,8.945657206119163,0.8496376811594203,7.2,3.267361111111111,0.75,1,0.0,0.7916666666666666,9.528435659684591
16,1,col,row,True,32,True,False,tw16_th1_tcol_irow_hi_pal32_pad64,10.576277123656622,0.9502373417721519,9.288824383164005,1.12203125,0.86796875,1,0.005797101449275362,0.3375,5.974398551441249,0.986867088607595,48.1203007518797,0.15796875,0.9865234375,0,0.014492753623188406,0.19,11.265857234762485,0.9469145569620253,18.991097922848663,1.125625,0.9283203125,3,0.005509641873278237,0.345625,10.723931251006764,0.9491353026982057,20.992380261248186,0.913715322789733,0.9088502746016026,2,0.0010689470871191875,0.16040100250626566,8.52206119162641,0.8505434782608696,6.260869565217392,3.486111111111111,0.6805555555555556,2,0.0,1.0,9.397954168770172
16,1,col,row,True,32,True,True,tw16_th1_tcol_irow_hi_pal32_pad64_full,10.576277123656622,0.9502373417721519,9.288824383164005,1.12203125,0.86796875,1,0.005797101449275362,0.3375,5.974398551441249,0.986867088607595,48.1203007518797,0.15796875,0.9865234375,0,0.014492753623188406,0.19,11.265857234762485,0.9469145569620253,18.991097922848663,1.125625,0.9283203125,3,0.005509641873278237,0.345625,10.723931251006764,0.9491353026982057,20.992380261248186,0.913715322789733,0.9088502746016026,2,0.0010689470871191875,0.16040100250626566,8.52206119162641,0.8505434782608696,6.260869565217392,3.486111111111111,0.6805555555555556,2,0.0,1.0,9.397954168770172
16,1,col,col,True,32,True,False,tw16_th1_tcol_icol_hi_pal32_pad64,10.576277123656622,0.9502373417721519,9.288824383164005,1.12203125,0.86796875,1,0.005797101449275362,0.3375,5.974398551441249,0.986867088607595,48.1203007518797,0.15796875,0.9865234375,0,0.014492753623188406,0.19,11.265857234762485,0.9469145569620253,18.991097922848663,1.125625,0.9283203125,3,0.005509641873278237,0.345625,10.723931251006764,0.9491353026982057,20.992380261248186,0.913715322789733,0.9088502746016026,2,0.0010689470871191875,0.16040100250626566,8.52206119162641,0.8505434782608696,6.260869565217392,3.486111111111111,0.6805555555555556,2,0.0,1.0,9.397954168770172
16,1,col,col,True,32,True,True,tw16_th1_tcol_icol_hi_pal32_pad64_full,10.576277123656622,0.9502373417721519,9.288824383164005,1.12203125,0.86796875,1,0.005797101449275362,0.3375,5.974398551441249,0.986867088607595,48.1203007518797,0.15796875,0.9865234375,0,0.014492753623188406,0.19,11.265857234762485,0.9469145569620253,18.991097922848663,1.125625,0.9283203125,3,0.005509641873278237,0.345625,10.723931251006764,0.9491353026982057,20.992380261248186,0.913715322789733,0.9088502746016026,2,0.0010689470871191875,0.16040100250626566,8.52206119162641,0.8505434782608696,6.260869565217392,3.486111111111111,0.6805555555555556,2,0.0,1.0,9.397954168770172
16,1,col,morton,True,32,True,False,tw16_th1_tcol_imorton_hi_pal32_pad64,10.576277123656622,0.9502373417721519,9.288824383164005,1.12203125,0.86796875,1,0.005797101449275362,0.3375,5.974398551441249,0.986867088607595,48.1203007518797,0.15796875,0.9865234375,0,0.014492753623188406,0.19,11.265857234762485,0.9469145569620253,18.991097922848663,1.125625,0.9283203125,3,0.005509641873278237,0.345625,10.723931251006764,0.9491353026982057,20.992380261248186,0.913715322789733,0.9088502746016026,2,0.0010689470871191875,0.16040100250626566,8.52206119162641,0.8505434782608696,6.260869565217392,3.486111111111111,0.6805555555555556,2,0.0,1.0,9.397954168770172
16,1,col,morton,True,32,True,True,tw16_th1_tcol_imorton_hi_pal32_pad64_full,10.576277123656622,0.9502373417721519,9.288824383164005,1.12203125,0.86796875,1,0.005797101449275362,0.3375,5.974398551441249,0.986867088607595,48.1203007518797,0.15796875,0.9865234375,0,0.014492753623188406,0.19,11.265857234762485,0.9469145569620253,18.991097922848663,1.125625,0.9283203125,3,0.005509641873278237,0.345625,10.723931251006764,0.9491353026982057,20.992380261248186,0.913715322789733,0.9088502746016026,2,0.0010689470871191875,0.16040100250626566,8.52206119162641,0.8505434782608696,6.260869565217392,3.486111111111111,0.6805555555555556,2,0.0,1.0,9.397954168770172
16,1,col,bup,True,32,True,False,tw16_th1_tcol_ibup_hi_pal32_pad64,10.576277123656622,0.9502373417721519,9.288824383164005,1.12203125,0.86796875,1,0.005797101449275362,0.3375,5.974398551441249,0.986867088607595,48.1203007518797,0.15796875,0.9865234375,0,0.014492753623188406,0.19,11.265857234762485,0.9469145569620253,18.991097922848663,1.125625,0.9283203125,3,0.005509641873278237,0.345625,10.723931251006764,0.9491353026982057,20.992380261248186,0.913715322789733,0.9088502746016026,2,0.0010689470871191875,0.16040100250626566,8.52206119162641,0.8505434782608696,6.260869565217392,3.486111111111111,0.6805555555555556,2,0.0,1.0,9.397954168770172
16,1,col,bup,True,32,True,True,tw16_th1_tcol_ibup_hi_pal32_pad64_full,10.576277123656622,0.9502373417721519,9.288824383164005,1.12203125,0.86796875,1,0.005797101449275362,0.3375,5.974398551441249,0.986867088607595,48.1203007518797,0.15796875,0.9865234375,0,0.014492753623188406,0.19,11.265857234762485,0.9469145569620253,18.991097922848663,1.125625,0.9283203125,3,0.005509641873278237,0.345625,10.723931251006764,0.9491353026982057,20.992380261248186,0.913715322789733,0.9088502746016026,2,0.0010689470871191875,0.16040100250626566,8.52206119162641,0.8505434782608696,6.260869565217392,3.486111111111111,0.6805555555555556,2,0.0,1.0,9.397954168770172
16,1,row,row,True,0,True,True,tw16_th1_trow_irow_hi_pal0_pad64_full,10.715166387612452,0.9494462025316456,9.20863309352518,1.20609375,0.961328125,5,0.0014265335235378032,0.19921875,4.465036590189873,0.9897943037974684,48.85496183206107,0.1284375,0.98515625,0,0.02,0.1875,11.431415597374588,0.9379746835443038,18.55072463768116,1.01875,0.9271484375,4,0.013477088948787063,0.2125,10.709080406993518,0.9399161844521583,21.56354826686545,0.9194538069311209,0.9252363374448546,2,0.0010749798441279225,0.13793103448275862,8.71616802354345,0.8469202898550725,6.9397590361445785,3.0989583333333335,0.75,1,0.0375,0.7916666666666666,9.074631804228156
16,1,row,col,True,0,True,True,tw16_th1_trow_icol_hi_pal0_pad64_full,10.715166387612452,0.9494462025316456,9.20863309352518,1.20609375,0.961328125,5,0.0014265335235378032,0.19921875,4.465036590189873,0.9897943037974684,48.85496183206107,0.1284375,0.98515625,0,0.02,0.1875,11.431415597374588,0.9379746835443038,18.55072463768116,1.01875,0.9271484375,4,0.013477088948787063,0.2125,10.709080406993518,0.9399161844521583,21.56354826686545,0.9194538069311209,0.9252363374448546,2,0.0010749798441279225,0.13793103448275862,8.71616802354345,0.8469202898550725,6.9397590361445785,3.0989583333333335,0.75,1,0.0375,0.7916666666666666,9.074631804228156
16,1,row,morton,True,0,True,True,tw16_th1_trow_imorton_hi_pal0_pad64_full,10.715166387612452,0.9494462025316456,9.20863309352518,1.20609375,0.961328125,5,0.0014265335235378032,0.19921875,4.465036590189873,0.9897943037974684,48.85496183206107,0.1284375,0.98515625,0,0.02,0.1875,11.431415597374588,0.9379746835443038,18.55072463768116,1.01875,0.9271484375,4,0.013477088948787063,0.2125,10.709080406993518,0.9399161844521583,21.56354826686545,0.9194538069311209,0.9252363374448546,2,0.0010749798441279225,0.13793103448275862,8.71616802354345,0.8469202898550725,6.9397590361445785,3.0989583333333335,0.75,1,0.0375,0.7916666666666666,9.074631804228156
16,1,row,bup,True,0,True,True,tw16_th1_trow_ibup_hi_pal0_pad64_full,10.715166387612452,0.9494462025316456,9.20863309352518,1.20609375,0.961328125,5,0.0014265335235378032,0.19921875,4.465036590189873,0.9897943037974684,48.85496183206107,0.1284375,0.98515625,0,0.02,0.1875,11.431415597374588,0.9379746835443038,18.55072463768116,1.01875,0.9271484375,4,0.013477088948787063,0.2125,10.709080406993518,0.9399161844521583,21.56354826686545,0.9194538069311209,0.9252363374448546,2,0.0010749798441279225,0.13793103448275862,8.71616802354345,0.8469202898550725,6.9397590361445785,3.0989583333333335,0.75,1,0.0375,0.7916666666666666,9.074631804228156
16,1,row,row,True,0,True,False,tw16_th1_trow_irow_hi_pal0_pad64,10.715166387612452,0.9494462025316456,9.20863309352518,1.20609375,0.961328125,5,0.0014265335235378032,0.19921875,4.465036590189873,0.9897943037974684,48.85496183206107,0.1284375,0.98515625,0,0.02,0.1875,11.431415597374588,0.9379746835443038,18.55072463768116,1.01875,0.9271484375,4,0.013477088948787063,0.2125,10.698105364681329,0.9402209568569955,21.531447711202084,0.9288911935009939,0.9252183307823895,4,0.002403846153846154,0.13793103448275862,8.71616802354345,0.8469202898550725,6.9397590361445785,3.0989583333333335,0.75,1,0.0375,0.7916666666666666,9.071339291534498
16,1,row,col,True,0,True,False,tw16_th1_trow_icol_hi_pal0_pad64,10.715166387612452,0.9494462025316456,9.20863309352518,1.20609375,0.961328125,5,0.0014265335235378032,0.19921875,4.465036590189873,0.9897943037974684,48.85496183206107,0.1284375,0.98515625,0,0.02,0.1875,11.431415597374588,0.9379746835443038,18.55072463768116,1.01875,0.9271484375,4,0.013477088948787063,0.2125,10.698105364681329,0.9402209568569955,21.531447711202084,0.9288911935009939,0.9252183307823895,4,0.002403846153846154,0.13793103448275862,8.71616802354345,0.8469202898550725,6.9397590361445785,3.0989583333333335,0.75,1,0.0375,0.7916666666666666,9.071339291534498
